#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:59 out:57 type:P dur:2 cpbdur:2 q:17.66 aq:4.50 tex:20958 mv:1095 misc:771 imb:3 pmb:241 smb:1376 d:s ref:0 ;
in:57 out:58 type:B dur:2 cpbdur:2 q:17.43 aq:11.00 tex:182 mv:51 misc:271 imb:0 pmb:12 smb:1608 d:s ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:17.55 aq:11.61 tex:164 mv:76 misc:272 imb:0 pmb:18 smb:1602 d:- ref:0 ;
in:62 out:60 type:P dur:2 cpbdur:2 q:16.97 aq:4.26 tex:322453 mv:3585 misc:402 imb:71 pmb:636 smb:913 d:s ref:0 ;
in:60 out:61 type:B dur:2 cpbdur:2 q:17.43 aq:7.73 tex:11976 mv:1271 misc:633 imb:1 pmb:221 smb:1398 d:s ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:17.20 aq:4.98 tex:159 mv:143 misc:242 imb:0 pmb:15 smb:1605 d:- ref:0 ;
in:64 out:63 type:P dur:2 cpbdur:2 q:18.05 aq:4.55 tex:37337 mv:1089 misc:862 imb:0 pmb:349 smb:1271 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:17.51 aq:6.26 tex:85 mv:3 misc:184 imb:0 pmb:2 smb:1618 d:s ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:18.14 aq:4.13 tex:30117 mv:1161 misc:786 imb:0 pmb:317 smb:1303 d:s ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:18.10 aq:12.48 tex:61 mv:4 misc:191 imb:0 pmb:3 smb:1617 d:s ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:17.82 aq:4.47 tex:53684 mv:1532 misc:752 imb:2 pmb:401 smb:1217 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:17.98 aq:12.52 tex:222 mv:119 misc:267 imb:0 pmb:14 smb:1606 d:s ref:0 ;
in:70 out:69 type:P dur:2 cpbdur:2 q:18.11 aq:3.89 tex:52421 mv:1603 misc:736 imb:4 pmb:391 smb:1225 d:s ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:17.96 aq:12.90 tex:207 mv:53 misc:196 imb:0 pmb:3 smb:1617 d:s ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:18.18 aq:4.11 tex:38072 mv:1257 misc:775 imb:3 pmb:357 smb:1260 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:18.14 aq:11.48 tex:240 mv:91 misc:253 imb:0 pmb:16 smb:1604 d:s ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:18.14 aq:4.20 tex:42879 mv:1321 misc:736 imb:3 pmb:348 smb:1269 d:s ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:18.16 aq:12.59 tex:215 mv:95 misc:226 imb:0 pmb:9 smb:1611 d:s ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:17.96 aq:4.05 tex:43627 mv:1375 misc:702 imb:2 pmb:362 smb:1256 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:18.05 aq:11.59 tex:365 mv:105 misc:242 imb:0 pmb:12 smb:1608 d:s ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:17.69 aq:4.81 tex:70133 mv:2103 misc:740 imb:5 pmb:412 smb:1203 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:17.83 aq:7.47 tex:10802 mv:1501 misc:641 imb:0 pmb:259 smb:1361 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:17.90 aq:12.10 tex:193 mv:75 misc:276 imb:0 pmb:19 smb:1601 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:17.76 aq:12.44 tex:234 mv:223 misc:271 imb:0 pmb:21 smb:1599 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:17.02 aq:4.50 tex:77981 mv:2192 misc:763 imb:3 pmb:457 smb:1160 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:17.36 aq:6.68 tex:12965 mv:1735 misc:604 imb:0 pmb:259 smb:1361 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:17.52 aq:12.84 tex:483 mv:112 misc:277 imb:0 pmb:15 smb:1605 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:17.19 aq:7.14 tex:250 mv:108 misc:306 imb:0 pmb:24 smb:1596 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:17.53 aq:4.67 tex:69106 mv:2230 misc:688 imb:0 pmb:427 smb:1193 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:17.28 aq:7.05 tex:13318 mv:1602 misc:640 imb:0 pmb:301 smb:1319 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:17.15 aq:6.61 tex:335 mv:190 misc:251 imb:0 pmb:19 smb:1601 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:17.41 aq:7.01 tex:387 mv:170 misc:259 imb:0 pmb:19 smb:1601 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:17.05 aq:4.54 tex:87280 mv:2800 misc:632 imb:6 pmb:511 smb:1103 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:17.29 aq:6.99 tex:15948 mv:2159 misc:685 imb:0 pmb:383 smb:1237 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:17.41 aq:7.28 tex:237 mv:44 misc:263 imb:0 pmb:14 smb:1606 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:17.17 aq:5.51 tex:358 mv:87 misc:235 imb:0 pmb:10 smb:1610 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:16.72 aq:4.57 tex:97794 mv:3051 misc:523 imb:3 pmb:579 smb:1038 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:16.89 aq:6.92 tex:18287 mv:2410 misc:687 imb:0 pmb:419 smb:1201 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:16.97 aq:7.81 tex:539 mv:126 misc:303 imb:0 pmb:24 smb:1596 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:16.80 aq:8.03 tex:267 mv:129 misc:332 imb:0 pmb:29 smb:1591 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:16.41 aq:4.37 tex:103638 mv:3270 misc:500 imb:6 pmb:584 smb:1030 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:16.57 aq:6.30 tex:20018 mv:2684 misc:610 imb:0 pmb:456 smb:1164 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:16.65 aq:7.77 tex:1402 mv:327 misc:399 imb:0 pmb:52 smb:1568 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:16.49 aq:7.45 tex:565 mv:149 misc:374 imb:0 pmb:37 smb:1583 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:16.33 aq:4.31 tex:102122 mv:3138 misc:452 imb:5 pmb:574 smb:1041 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:16.37 aq:6.98 tex:18583 mv:2568 misc:657 imb:0 pmb:467 smb:1153 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:16.39 aq:7.25 tex:721 mv:210 misc:405 imb:0 pmb:45 smb:1575 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:16.35 aq:7.32 tex:410 mv:91 misc:387 imb:0 pmb:36 smb:1584 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:16.27 aq:4.29 tex:104253 mv:3155 misc:488 imb:5 pmb:575 smb:1040 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:16.30 aq:6.15 tex:16491 mv:2536 misc:653 imb:0 pmb:463 smb:1157 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:16.32 aq:6.77 tex:420 mv:97 misc:339 imb:0 pmb:27 smb:1593 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:16.29 aq:6.97 tex:472 mv:188 misc:380 imb:0 pmb:40 smb:1580 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:15.99 aq:4.38 tex:104523 mv:2747 misc:522 imb:5 pmb:572 smb:1043 d:s ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:16.13 aq:6.52 tex:1885 mv:518 misc:341 imb:0 pmb:49 smb:1571 d:s ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:15.99 aq:4.36 tex:105884 mv:3340 misc:624 imb:18 pmb:517 smb:1085 d:s ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:15.99 aq:6.05 tex:4789 mv:629 misc:462 imb:0 pmb:98 smb:1522 d:s ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:15.99 aq:6.69 tex:3547 mv:727 misc:366 imb:0 pmb:62 smb:1558 d:s ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:15.99 aq:6.59 tex:495 mv:202 misc:375 imb:0 pmb:48 smb:1572 d:- ref:0 ;
in:116 out:115 type:P dur:2 cpbdur:2 q:16.00 aq:4.36 tex:81941 mv:2071 misc:628 imb:3 pmb:499 smb:1118 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:15.99 aq:6.32 tex:1737 mv:434 misc:301 imb:0 pmb:35 smb:1585 d:s ref:0 ;
in:118 out:117 type:P dur:2 cpbdur:2 q:16.17 aq:4.41 tex:75398 mv:1988 misc:646 imb:4 pmb:472 smb:1144 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:16.08 aq:6.43 tex:1538 mv:244 misc:338 imb:0 pmb:34 smb:1586 d:s ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:16.15 aq:4.46 tex:307448 mv:4271 misc:409 imb:88 pmb:614 smb:918 d:s ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:16.16 aq:6.42 tex:32116 mv:2545 misc:667 imb:0 pmb:416 smb:1204 d:s ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:16.16 aq:8.62 tex:9171 mv:1143 misc:782 imb:1 pmb:330 smb:1289 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:16.15 aq:11.27 tex:1501 mv:582 misc:333 imb:0 pmb:49 smb:1571 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:16.49 aq:4.62 tex:104480 mv:3101 misc:491 imb:4 pmb:587 smb:1029 d:s ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:16.32 aq:6.05 tex:16316 mv:2033 misc:739 imb:0 pmb:421 smb:1199 d:s ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:16.23 aq:11.95 tex:255 mv:60 misc:309 imb:0 pmb:22 smb:1598 d:s ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:16.40 aq:10.42 tex:308 mv:92 misc:304 imb:0 pmb:21 smb:1599 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:16.40 aq:4.41 tex:105897 mv:2978 misc:493 imb:7 pmb:574 smb:1039 d:s ref:0 ;
